#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
54.1%	17313	-24.840253655571605	202.35068794642632	0.0304	0:41
54.1%	17314	-24.84064765504942	202.35700624567062	0.0304	0:41
54.1%	17315	-24.841041657201906	202.36332458577698	0.0304	0:41
54.1%	17316	-24.84143566074471	202.36964295057126	0.0304	0:41
54.1%	17317	-24.84182966439413	202.3759613143918	0.0304	0:41
54.1%	17318	-24.84222366686653	202.38227966048305	0.0304	0:41
54.1%	17319	-24.84261766687915	202.38859796630277	0.0304	0:41
54.1%	17320	-24.843011663149372	202.39491621035444	0.0304	0:41
54.1%	17321	-24.843405654395244	202.4012343757955	0.0304	0:41
54.1%	17322	-24.843799639335344	202.4075524418906	0.0304	0:41
54.1%	17323	-24.844193616688354	202.41387038731287	0.0304	0:41
54.1%	17324	-24.84458758517414	202.42018818557642	0.0304	0:41
54.1%	17325	-24.844981543512276	202.4265058221883	0.0304	0:41
54.1%	17326	-24.845375490423148	202.43282327889722	0.0304	0:41
54.1%	17327	-24.845769424627864	202.4391405305627	0.0304	0:41
54.1%	17328	-24.84616334484764	202.44545755528614	0.0304	0:41
54.2%	17329	-24.846557249804427	202.4517743379777	0.0304	0:41
54.2%	17330	-24.84695113822057	202.45809085653573	0.0304	0:41
54.2%	17331	-24.847345008818905	202.46440708695567	0.0304	0:41
54.2%	17332	-24.847738860322828	202.47072301266596	0.0304	0:41
54.2%	17333	-24.84813269145643	202.47703861297558	0.0304	0:41
54.2%	17334	-24.848526500943752	202.48335386453394	0.0304	0:41
54.2%	17335	-24.84892028750981	202.4896687473765	0.0304	0:41
54.2%	17336	-24.849314049880093	202.49598324531928	0.0304	0:41
54.2%	17337	-24.849707786780463	202.50229733116925	0.0304	0:41
54.2%	17338	-24.850101496937466	202.50861099144362	0.0304	0:41
54.2%	17339	-24.850495179077804	202.51492419823697	0.0304	0:41
54.2%	17340	-24.85088883192928	202.5212369417037	0.0304	0:41
54.2%	17341	-24.851282454219564	202.527549191639	0.0304	0:41
54.2%	17342	-24.85167604467747	202.5338609302473	0.0304	0:41
54.2%	17343	-24.852069602031964	202.5401721348384	0.0304	0:41
54.2%	17344	-24.852463125012626	202.54648279473136	0.0304	0:41
54.2%	17345	-24.852856612349548	202.55279288159687	0.0304	0:41
54.2%	17346	-24.853250062773398	202.5591023769819	0.0304	0:41
54.2%	17347	-24.853643475015453	202.56541125542702	0.0304	0:41
54.2%	17348	-24.854036847807496	202.5717195035206	0.0304	0:41
54.2%	17349	-24.854430179881845	202.57802709795615	0.0304	0:41
54.2%	17350	-24.854823469971322	202.58433402040984	0.0304	0:41
54.2%	17351	-24.85521671680912	202.59064025004523	0.0304	0:41
54.2%	17352	-24.8556099191296	202.59694576533903	0.0304	0:41
54.2%	17353	-24.856003075667044	202.60325054689204	0.0304	0:41
54.2%	17354	-24.856396185156502	202.60955457069423	0.0304	0:41
54.2%	17355	-24.856789246333598	202.61585782455944	0.0304	0:41
54.2%	17356	-24.857182257934777	202.62216028136197	0.0304	0:41
54.2%	17357	-24.857575218696578	202.62846192158648	0.0304	0:41
54.2%	17358	-24.857968127356276	202.63476272793025	0.0304	0:41
54.2%	17359	-24.858360982651853	202.64106267766874	0.0304	0:41
54.2%	17360	-24.85875378332192	202.64736175027406	0.0304	0:41
54.3%	17361	-24.85914652810547	202.65365992740362	0.0304	0:41
54.3%	17362	-24.859539215741975	202.6599571870587	0.0304	0:41
54.3%	17363	-24.859931844971914	202.6662535116443	0.0304	0:41
54.3%	17364	-24.860324414535814	202.6725488794046	0.0304	0:41
54.3%	17365	-24.86071692317539	202.6788432692706	0.0304	0:41
54.3%	17366	-24.861109369632402	202.68513666269655	0.0304	0:41
54.3%	17367	-24.861501752649627	202.69142903806207	0.0304	0:41
54.3%	17368	-24.861894070969967	202.6977203765291	0.0304	0:41
54.3%	17369	-24.862286323337432	202.704010658159	0.0304	0:41
54.3%	17370	-24.86267850849622	202.7102998637504	0.0304	0:41
54.3%	17371	-24.863070625191398	202.71658796928867	0.0304	0:41
54.3%	17372	-24.863462672168485	202.72287495504548	0.0304	0:41
54.3%	17373	-24.863854648173902	202.72916080436644	0.0304	0:41
54.3%	17374	-24.86424655195426	202.73544549503356	0.0304	0:41
54.3%	17375	-24.864638382256775	202.741729009446	0.0304	0:41
54.3%	17376	-24.865030137829947	202.74801132260913	0.0304	0:41
54.3%	17377	-24.8654218174219	202.75429241759653	0.0304	0:41
54.3%	17378	-24.86581341978237	202.7605722780385	0.0304	0:41
54.3%	17379	-24.866204943661003	202.76685087704334	0.0304	0:41
54.3%	17380	-24.866596387808286	202.77312819468915	0.0304	0:41
54.3%	17381	-24.866987750975547	202.77940421540336	0.0304	0:41
54.3%	17382	-24.86737903191434	202.7856789201821	0.0304	0:41
54.3%	17383	-24.867770229377328	202.79195228407556	0.0304	0:41
54.3%	17384	-24.868161342117336	202.79822428833137	0.0304	0:41
54.3%	17385	-24.868552368888196	202.80449491671777	0.0304	0:41
54.3%	17386	-24.868943308444283	202.81076414681908	0.0304	0:41
54.3%	17387	-24.869334159540276	202.81703195431228	0.0304	0:41
54.3%	17388	-24.869724920932082	202.82329832750074	0.0304	0:41
54.3%	17389	-24.870115591375995	202.8295632420009	0.0304	0:41
54.3%	17390	-24.870506169628754	202.83582667379122	0.0304	0:41
54.3%	17391	-24.870896654447996	202.84208860736786	0.0304	0:41
54.4%	17392	-24.87128704459203	202.84834902567528	0.0304	0:41
54.4%	17393	-24.871677338819666	202.85460790318146	0.0304	0:41
54.4%	17394	-24.872067535890494	202.86086522520566	0.0304	0:41
54.4%	17395	-24.872457634564597	202.86712096809754	0.0304	0:41
54.4%	17396	-24.872847633603076	202.87337511431394	0.0304	0:41
54.4%	17397	-24.87323753176741	202.87962764191784	0.0304	0:41
54.4%	17398	-24.87362732781968	202.88587853196623	0.0304	0:41
54.4%	17399	-24.874017020522935	202.8921277645193	0.0304	0:41
54.4%	17400	-24.87440660864085	202.89837532114709	0.0304	0:41
54.4%	17401	-24.87479609093749	202.9046211813862	0.0304	0:41
54.4%	17402	-24.875185466177822	202.91086532355237	0.0304	0:41
54.4%	17403	-24.87557473312751	202.91710773073373	0.0304	0:41
54.4%	17404	-24.875963890552896	202.92334838075848	0.0304	0:41
54.4%	17405	-24.876352937220968	202.92958725258688	0.0304	0:41
54.4%	17406	-24.876741871899274	202.93582432825383	0.0304	0:41
54.4%	17407	-24.877130693356527	202.94205958790457	0.0304	0:41
54.4%	17408	-24.877519400361514	202.94829301273674	0.0304	0:41
54.4%	17409	-24.877907991683966	202.95452458193103	0.0304	0:41
54.4%	17410	-24.878296466094568	202.96075428047445	0.0304	0:41
54.4%	17411	-24.878684822364587	202.9669820813288	0.0304	0:41
54.4%	17412	-24.879073059265863	202.9732079665033	0.0304	0:41
54.4%	17413	-24.879461175570786	202.9794319215704	0.0304	0:41
54.4%	17414	-24.87984917005281	202.98565392177318	0.0304	0:41
54.4%	17415	-24.88023704148597	202.99187394912315	0.0304	0:41
54.4%	17416	-24.880624788645186	202.99809198454943	0.0304	0:41
54.4%	17417	-24.88101241030577	203.0043080053558	0.0304	0:41
54.4%	17418	-24.88139990524368	203.01052199500495	0.0304	0:41
54.4%	17419	-24.881787272236203	203.0167339352825	0.0304	0:41
54.4%	17420	-24.882174510060914	203.02294380209602	0.0304	0:41
54.4%	17421	-24.882561617496147	203.0291515743172	0.0304	0:41
54.4%	17422	-24.882948593320794	203.03535724297504	0.0304	0:41
54.4%	17423	-24.883335436315235	203.04156077869547	0.0304	0:41
54.5%	17424	-24.883722145259316	203.04776216344575	0.0304	0:41
54.5%	17425	-24.884108718934883	203.05396138027842	0.0304	0:41
54.5%	17426	-24.884495156123783	203.06015840484594	0.0304	0:41
54.5%	17427	-24.884881455609044	203.066353225088	0.0304	0:41
54.5%	17428	-24.885267616173934	203.07254581388443	0.0304	0:41
54.5%	17429	-24.885653636602804	203.07873615802976	0.0304	0:41
54.5%	17430	-24.88603951568092	203.08492423242427	0.0304	0:41
54.5%	17431	-24.886425252194012	203.0911100225816	0.0304	0:41
54.5%	17432	-24.886810844928416	203.0972935093145	0.0304	0:41
54.5%	17433	-24.88719629267158	203.10347466952524	0.0304	0:41
54.5%	17434	-24.887581594211646	203.10965348355285	0.0304	0:41
54.5%	17435	-24.887966748337668	203.11582993418577	0.0304	0:41
54.5%	17436	-24.888351753838776	203.12200399934446	0.0304	0:41
54.5%	17437	-24.888736609505692	203.12817566557604	0.0304	0:41
54.5%	17438	-24.88912131412938	203.13434491011566	0.0304	0:41
54.5%	17439	-24.889505866501995	203.1405117116056	0.0304	0:41
54.5%	17440	-24.8898902654161	203.14667605119246	0.0304	0:41
54.5%	17441	-24.890274509665208	203.15283790983315	0.0304	0:41
54.5%	17442	-24.89065859804371	203.15899726898726	0.0304	0:41
54.5%	17443	-24.891042529346304	203.16515410919385	0.0304	0:41
54.5%	17444	-24.891426302369275	203.1713084115972	0.0304	0:41
54.5%	17445	-24.891809915908926	203.17746015674044	0.0304	0:41
54.5%	17446	-24.892193368762698	203.1836093260277	0.0304	0:41
54.5%	17447	-24.892576659728814	203.18975589686306	0.0304	0:41
54.5%	17448	-24.892959787606657	203.19589985420697	0.0304	0:41
54.5%	17449	-24.893342751195526	203.20204117506674	0.0304	0:41
54.5%	17450	-24.893725549296196	203.20817984411525	0.0304	0:41
54.5%	17451	-24.894108180710056	203.21431584145776	0.0304	0:41
54.5%	17452	-24.894490644239408	203.22044914592496	0.0304	0:41
54.5%	17453	-24.894872938687243	203.2265797347885	0.0304	0:41
54.5%	17454	-24.89525506285741	203.2327075994121	0.0304	0:41
54.5%	17455	-24.895637015554374	203.23883271052227	0.0304	0:41
54.5%	17456	-24.896018795584098	203.24495505294558	0.0304	0:41
54.6%	17457	-24.89640040175221	203.25107461062225	0.0304	0:41
54.6%	17458	-24.896781832866306	203.25719135980228	0.0304	0:41
54.6%	17459	-24.89716308773386	203.26330528117813	0.0304	0:41
54.6%	17460	-24.897544165163993	203.26941635662868	0.0304	0:41
54.6%	17461	-24.89792506396632	203.2755245680004	0.0304	0:41
54.6%	17462	-24.8983057829511	203.28162989585266	0.0304	0:41
54.6%	17463	-24.89868632092943	203.28773232107287	0.0304	0:41
54.6%	17464	-24.899066676713442	203.29383182165782	0.0304	0:41
54.6%	17465	-24.899446849116224	203.29992838653158	0.0304	0:41
54.6%	17466	-24.899826836951384	203.30602199204515	0.0305	0:41
54.6%	17467	-24.900206639033527	203.3121126169945	0.0305	0:41
54.6%	17468	-24.90058625417821	203.31820024495087	0.0305	0:41
54.6%	17469	-24.90096568120154	203.32428485217744	0.0305	0:41
54.6%	17470	-24.90134491892067	203.33036642752606	0.0305	0:41
54.6%	17471	-24.90172396615378	203.33644494837228	0.0305	0:41
54.6%	17472	-24.902102821719396	203.34252039084296	0.0305	0:41
54.6%	17473	-24.902481484437416	203.34859274136687	0.0305	0:41
54.6%	17474	-24.90285995312834	203.35466198238842	0.0305	0:41
54.6%	17475	-24.903238226613748	203.36072809067895	0.0305	0:41
54.6%	17476	-24.903616303715495	203.36679105272066	0.0305	0:41
54.6%	17477	-24.90399418325718	203.3728508445516	0.0305	0:41
54.6%	17478	-24.904371864062387	203.37890745182764	0.0305	0:41
54.6%	17479	-24.904749344956514	203.3849608517365	0.0305	0:41
54.6%	17480	-24.905126624765042	203.39101102693664	0.0305	0:41
54.6%	17481	-24.905503702314416	203.39705796202355	0.0305	0:41
54.6%	17482	-24.905880576432345	203.40310163170534	0.0305	0:41
54.6%	17483	-24.906257245947227	203.40914202343512	0.0305	0:41
54.6%	17484	-24.906633709688276	203.4151791128294	0.0305	0:41
54.6%	17485	-24.907009966485653	203.42121288312285	0.0305	0:41
54.6%	17486	-24.907386015170427	203.42724331505184	0.0305	0:41
54.6%	17487	-24.907761854574474	203.4332703913226	0.0305	0:41
54.6%	17488	-24.90813748353075	203.4392940947845	0.0305	0:41
54.7%	17489	-24.908512900872747	203.44531440342917	0.0305	0:41
54.7%	17490	-24.908888105435302	203.45133129848733	0.0305	0:41
54.7%	17491	-24.909263096053746	203.45734476310471	0.0305	0:41
54.7%	17492	-24.909637871564712	203.46335477965914	0.0305	0:41
54.7%	17493	-24.910012430805377	203.4693613291975	0.0305	0:41
54.7%	17494	-24.910386772613837	203.47536439165387	0.0305	0:41
54.7%	17495	-24.910760895829355	203.48136394847396	0.0305	0:41
54.7%	17496	-24.911134799292086	203.48735997823712	0.0305	0:41
54.7%	17497	-24.911508481842855	203.49335246855546	0.0305	0:41
54.7%	17498	-24.911881942323564	203.4993413982935	0.0305	0:41
54.7%	17499	-24.91225517957702	203.5053267483675	0.0305	0:41
54.7%	17500	-24.912628192446796	203.51130849545657	0.0305	0:41
54.7%	17501	-24.91300097977777	203.51728663226464	0.0305	0:41
54.7%	17502	-24.91337354041524	203.5232611298203	0.0305	0:41
54.7%	17503	-24.91374587320599	203.52923197684615	0.0305	0:41
54.7%	17504	-24.914117976996966	203.53519915070697	0.0305	0:41
54.7%	17505	-24.914489850636947	203.54116263141384	0.0305	0:41
54.7%	17506	-24.914861492975042	203.54712240302675	0.0305	0:41
54.7%	17507	-24.915232902861497	203.55307844525413	0.0305	0:41
54.7%	17508	-24.91560407914732	203.55903074855502	0.0305	0:41
54.7%	17509	-24.915975020684826	203.56497928204368	0.0305	0:41
54.7%	17510	-24.916345726326988	203.57092403059514	0.0305	0:41
54.7%	17511	-24.91671619492768	203.57686497962152	0.0305	0:41
54.7%	17512	-24.91708642534192	203.5828021100685	0.0305	0:41
54.7%	17513	-24.917456416425598	203.58873540489418	0.0305	0:41
54.7%	17514	-24.91782616703561	203.594664838745	0.0305	0:41
54.7%	17515	-24.91819567602937	203.60059040093932	0.0305	0:41
54.7%	17516	-24.918564942266222	203.60651206916225	0.0305	0:41
54.7%	17517	-24.91893396460533	203.61242982600135	0.0305	0:41
54.7%	17518	-24.91930274190765	203.61834365282806	0.0305	0:41
54.7%	17519	-24.919671273034556	203.6242535350035	0.0305	0:41
54.8%	17520	-24.92003955684905	203.63015945055116	0.0305	0:41
54.8%	17521	-24.92040759221442	203.63606138049212	0.0305	0:41
54.8%	17522	-24.920775377995206	203.64195930796177	0.0305	0:41
54.8%	17523	-24.921142913056908	203.64785321394024	0.0305	0:41
54.8%	17524	-24.92151019626612	203.6537430796818	0.0305	0:41
54.8%	17525	-24.92187722649011	203.65962888739094	0.0305	0:41
54.8%	17526	-24.92224400259748	203.66551062431427	0.0305	0:41
54.8%	17527	-24.922610523457596	203.67138826464787	0.0305	0:41
54.8%	17528	-24.922976787940907	203.67726179401805	0.0305	0:41
54.8%	17529	-24.923342794918586	203.6831311995779	0.0305	0:41
54.8%	17530	-24.92370854326326	203.68899645617046	0.0305	0:41
54.8%	17531	-24.924074031848317	203.6948575440941	0.0305	0:41
54.8%	17532	-24.924439259547935	203.70071444695242	0.0305	0:41
54.8%	17533	-24.924804225237626	203.70656714812307	0.0305	0:40
54.8%	17534	-24.925168927793624	203.7124156284806	0.0305	0:40
54.8%	17535	-24.92553336609333	203.71825987471792	0.0305	0:40
54.8%	17536	-24.925897539015132	203.72409986544307	0.0305	0:40
54.8%	17537	-24.92626144543839	203.72993558049905	0.0305	0:40
54.8%	17538	-24.926625084243508	203.73576700598358	0.0305	0:40
54.8%	17539	-24.926988454311825	203.74159411989388	0.0305	0:40
54.8%	17540	-24.927351554525732	203.747416906919	0.0305	0:40
54.8%	17541	-24.927714383768556	203.75323534677818	0.0305	0:40
54.8%	17542	-24.928076940924978	203.75904942645082	0.0305	0:40
54.8%	17543	-24.928439224880147	203.76485912687545	0.0305	0:40
54.8%	17544	-24.928801234520662	203.77066442721045	0.0305	0:40
54.8%	17545	-24.92916296873403	203.7764653059444	0.0305	0:40
54.8%	17546	-24.92952442640879	203.78226175418325	0.0305	0:40
54.8%	17547	-24.929885606434247	203.78805374673036	0.0305	0:40
54.8%	17548	-24.930246507701035	203.7938412701895	0.0305	0:40
54.8%	17549	-24.930607129100817	203.79962430910442	0.0305	0:40
54.8%	17550	-24.930967469526422	203.8054028413325	0.0305	0:40
54.8%	17551	-24.931327527870994	203.81117684689704	0.0305	0:40
54.9%	17552	-24.93168730302984	203.81694631220307	0.0305	0:40
54.9%	17553	-24.932046793898376	203.82271121921892	0.0305	0:40
54.9%	17554	-24.93240599937338	203.8284715490824	0.0305	0:40
54.9%	17555	-24.93276491835272	203.83422728555212	0.0305	0:40
54.9%	17556	-24.933123549735374	203.83997841253884	0.0305	0:40
54.9%	17557	-24.933481892421135	203.8457249090282	0.0305	0:40
54.9%	17558	-24.93383994531105	203.85146675441504	0.0305	0:40
54.9%	17559	-24.93419770730695	203.85720393349493	0.0305	0:40
54.9%	17560	-24.934555177312262	203.8629364339001	0.0305	0:40
54.9%	17561	-24.93491235423078	203.8686642301718	0.0305	0:40
54.9%	17562	-24.935269236968058	203.87438731165017	0.0305	0:40
54.9%	17563	-24.935625824430073	203.8801056545042	0.0305	0:40
54.9%	17564	-24.935982115524236	203.88581924915022	0.0305	0:40
54.9%	17565	-24.936338109159006	203.8915280760107	0.0305	0:40
54.9%	17566	-24.936693804243653	203.89723211348067	0.0305	0:40
54.9%	17567	-24.937049199689135	203.90293134507868	0.0305	0:40
54.9%	17568	-24.93740429440678	203.90862575618883	0.0305	0:40
54.9%	17569	-24.937759087309146	203.9143153270774	0.0305	0:40
54.9%	17570	-24.938113577310006	203.92000004247615	0.0305	0:40
54.9%	17571	-24.938467763324756	203.92567987709091	0.0305	0:40
54.9%	17572	-24.938821644268607	203.93135482118726	0.0305	0:40
54.9%	17573	-24.939175219058846	203.93702485675945	0.0305	0:40
54.9%	17574	-24.939528486613707	203.94268996130305	0.0305	0:40
54.9%	17575	-24.939881445852087	203.94835012242208	0.0305	0:40
54.9%	17576	-24.940234095694336	203.95400532480946	0.0305	0:40
54.9%	17577	-24.940586435062077	203.9596555503422	0.0305	0:40
54.9%	17578	-24.940938462877547	203.96530077878907	0.0305	0:40
54.9%	17579	-24.941290178064378	203.97094099554153	0.0305	0:40
54.9%	17580	-24.94164157954693	203.97657617920237	0.0305	0:40
54.9%	17581	-24.941992666251473	203.98220631421987	0.0305	0:40
54.9%	17582	-24.942343437104412	203.98783138351894	0.0305	0:40
54.9%	17583	-24.942693891033983	203.99345137002283	0.0305	0:40
55.0%	17584	-24.943044026969005	203.99906626019026	0.0305	0:40
55.0%	17585	-24.943393843840038	204.00467603361537	0.0305	0:40
55.0%	17586	-24.943743340577896	204.01028067079926	0.0305	0:40
55.0%	17587	-24.944092516115486	204.01588016033242	0.0305	0:40
55.0%	17588	-24.944441369385853	204.02147447733842	0.0305	0:40
55.0%	17589	-24.944789899323982	204.02706361193032	0.0305	0:40
55.0%	17590	-24.945138104865638	204.03264754223002	0.0305	0:40
55.0%	17591	-24.945485984947258	204.03822625750368	0.0305	0:40
55.0%	17592	-24.945833538507497	204.0437997317869	0.0305	0:40
55.0%	17593	-24.94618076448502	204.04936795567383	0.0305	0:40
55.0%	17594	-24.946527661820205	204.0549309088072	0.0305	0:40
55.0%	17595	-24.946874229454355	204.06048857524738	0.0305	0:40
55.0%	17596	-24.947220466330453	204.06604093731835	0.0305	0:40
55.0%	17597	-24.94756637139144	204.0715879781855	0.0305	0:40
55.0%	17598	-24.947911943582554	204.07712968098915	0.0305	0:40
55.0%	17599	-24.94825718184988	204.0826660296515	0.0305	0:40
55.0%	17600	-24.948602085140152	204.08819700666908	0.0305	0:40
55.0%	17601	-24.94894665240179	204.0937225935434	0.0305	0:40
55.0%	17602	-24.949290882583952	204.09924277519352	0.0305	0:40
55.0%	17603	-24.949634774637452	204.1047575357665	0.0305	0:40
55.0%	17604	-24.949978327513573	204.11026685724624	0.0305	0:40
55.0%	17605	-24.95032154016553	204.1157707220955	0.0305	0:40
55.0%	17606	-24.950664411547173	204.12126911399992	0.0305	0:40
55.0%	17607	-24.951006940613507	204.1267620156829	0.0305	0:40
55.0%	17608	-24.951349126320768	204.13224941219303	0.0305	0:40
55.0%	17609	-24.95169096762668	204.1377312848213	0.0305	0:40
55.0%	17610	-24.952032463489317	204.14320761919384	0.0305	0:40
55.0%	17611	-24.95237361286926	204.14867839544752	0.0305	0:40
55.0%	17612	-24.95271441472664	204.15414360071293	0.0305	0:40
55.0%	17613	-24.953054868023983	204.15960321720183	0.0305	0:40
55.0%	17614	-24.95339497172457	204.165057227833	0.0305	0:40
55.0%	17615	-24.953734724792692	204.17050561580848	0.0305	0:40
55.0%	17616	-24.95407412619413	204.17594836302203	0.0305	0:40
55.1%	17617	-24.954413174895645	204.18138545438316	0.0305	0:40
55.1%	17618	-24.954751869864868	204.18681687216866	0.0305	0:40
55.1%	17619	-24.955090210071432	204.1922426012134	0.0305	0:40
55.1%	17620	-24.95542819448545	204.19766262669896	0.0305	0:40
55.1%	17621	-24.9557658220784	204.2030769270293	0.0305	0:40
55.1%	17622	-24.95610309182309	204.2084854888122	0.0305	0:40
55.1%	17623	-24.95644000269347	204.21388829610183	0.0305	0:40
55.1%	17624	-24.956776553664387	204.21928533134346	0.0305	0:40
55.1%	17625	-24.95711274371237	204.2246765830353	0.0305	0:40
55.1%	17626	-24.957448571814762	204.2300620274018	0.0305	0:40
55.1%	17627	-24.957784036950255	204.2354416509262	0.0305	0:40
55.1%	17628	-24.958119138098816	204.2408154380552	0.0305	0:40
55.1%	17629	-24.958453874241304	204.24618337076433	0.0305	0:40
55.1%	17630	-24.958788244360168	204.2515454367147	0.0305	0:40
55.1%	17631	-24.959122247438923	204.25690161423321	0.0305	0:40
55.1%	17632	-24.959455882462112	204.26225189104218	0.0305	0:40
55.1%	17633	-24.959789148415723	204.26759624748107	0.0305	0:40
55.1%	17634	-24.9601220442866	204.2729346699944	0.0305	0:40
55.1%	17635	-24.96045456906351	204.2782671427205	0.0305	0:40
55.1%	17636	-24.96078672173579	204.2835936492019	0.0305	0:40
55.1%	17637	-24.961118501293967	204.28891416838968	0.0305	0:40
55.1%	17638	-24.961449906730248	204.2942286887606	0.0305	0:40
55.1%	17639	-24.9617809370378	204.29953718922172	0.0305	0:40
55.1%	17640	-24.96211159121095	204.30483966290856	0.0305	0:40
55.1%	17641	-24.9624418682453	204.31013608395446	0.0305	0:40
55.1%	17642	-24.962771767137898	204.31542644600293	0.0305	0:40
55.1%	17643	-24.963101286886666	204.3207107247223	0.0305	0:40
55.1%	17644	-24.963430426490874	204.32598890769626	0.0305	0:40
55.1%	17645	-24.963759184951336	204.3312609788392	0.0305	0:40
55.1%	17646	-24.964087561269626	204.33652692308146	0.0305	0:40
55.1%	17647	-24.964415554448834	204.34178672674753	0.0305	0:40
55.1%	17648	-24.964743163493235	204.34704036866188	0.0305	0:40
55.2%	17649	-24.965070387408197	204.352287834897	0.0305	0:40
55.2%	17650	-24.96539722520056	204.35752911093073	0.0305	0:40
55.2%	17651	-24.96572367587858	204.36276417599652	0.0305	0:40
55.2%	17652	-24.966049738450938	204.36799301960417	0.0305	0:40
55.2%	17653	-24.966375411928503	204.37321562121733	0.0305	0:40
55.2%	17654	-24.966700695323006	204.37843196592456	0.0305	0:40
55.2%	17655	-24.967025587647292	204.3836420405215	0.0305	0:40
55.2%	17656	-24.967350087915758	204.38884582967208	0.0305	0:40
55.2%	17657	-24.967674195143612	204.39404331308222	0.0305	0:40
55.2%	17658	-24.9679979083478	204.3992344782333	0.0305	0:40
55.2%	17659	-24.968321226546404	204.40441930986088	0.0305	0:40
55.2%	17660	-24.968644148758777	204.40959779361577	0.0305	0:40
55.2%	17661	-24.968966674005284	204.41476990902112	0.0305	0:40
55.2%	17662	-24.96928880130746	204.41993563961228	0.0305	0:40
55.2%	17663	-24.96961052968879	204.42509497805932	0.0305	0:40
55.2%	17664	-24.969931858173474	204.4302478991752	0.0305	0:40
55.2%	17665	-24.97025278578723	204.43539439388445	0.0305	0:40
55.2%	17666	-24.97057331155681	204.4405344435344	0.0305	0:40
55.2%	17667	-24.97089343451043	204.4456680325024	0.0305	0:40
55.2%	17668	-24.971213153677454	204.45079514893146	0.0305	0:40
55.2%	17669	-24.971532468088792	204.4559157741489	0.0305	0:40
55.2%	17670	-24.971851376776087	204.4610298926995	0.0305	0:40
55.2%	17671	-24.97216987877292	204.4661374918112	0.0305	0:40
55.2%	17672	-24.97248797311378	204.47123855039254	0.0305	0:40
55.2%	17673	-24.97280565883455	204.4763330581414	0.0305	0:40
55.2%	17674	-24.973122934972174	204.48142099867613	0.0305	0:40
55.2%	17675	-24.973439800565416	204.48650235436534	0.0305	0:40
55.2%	17676	-24.973756254653704	204.491577111232	0.0305	0:40
55.2%	17677	-24.97407229627823	204.4966452527239	0.0305	0:40
55.2%	17678	-24.97438792448125	204.50170676833886	0.0305	0:40
55.2%	17679	-24.97470313830627	204.50676163471695	0.0305	0:40
55.2%	17680	-24.975017936798295	204.51180983863853	0.0305	0:40
55.3%	17681	-24.975332319003464	204.51685136865564	0.0305	0:40
55.3%	17682	-24.9756462839694	204.52188620487001	0.0305	0:40
55.3%	17683	-24.975959830745047	204.5269143386097	0.0305	0:40
55.3%	17684	-24.97627295838021	204.53193575175348	0.0305	0:40
55.3%	17685	-24.976585665926514	204.5369504271234	0.0305	0:40
55.3%	17686	-24.976897952436616	204.54195835536248	0.0305	0:40
55.3%	17687	-24.977209816964752	204.54695951270097	0.0305	0:40
55.3%	17688	-24.97752125856602	204.55195388583348	0.0305	0:40
55.3%	17689	-24.977832276297253	204.5569414621601	0.0305	0:40
55.3%	17690	-24.97814286921655	204.561922226456	0.0305	0:40
55.3%	17691	-24.978453036383062	204.56689616350323	0.0305	0:40
55.3%	17692	-24.978762776857675	204.5718632586626	0.0305	0:40
55.3%	17693	-24.979072089702164	204.57682349708404	0.0305	0:40
55.3%	17694	-24.979380973979826	204.58177686407234	0.0305	0:40
55.3%	17695	-24.979689428755442	204.5867233366601	0.0305	0:40
55.3%	17696	-24.979997453094754	204.5916629123074	0.0305	0:40
55.3%	17697	-24.980305046065165	204.59659556593857	0.0305	0:40
55.3%	17698	-24.9806122067352	204.6015212927907	0.0305	0:40
55.3%	17699	-24.980918934175037	204.6064400719109	0.0305	0:40
55.3%	17700	-24.98122522745583	204.61135188745615	0.0305	0:40
55.3%	17701	-24.981531085650133	204.61625672312513	0.0305	0:40
55.3%	17702	-24.98183650783186	204.62115456433298	0.0305	0:40
55.3%	17703	-24.9821414930768	204.62604539880206	0.0305	0:40
55.3%	17704	-24.982446040460932	204.630929213988	0.0305	0:40
55.3%	17705	-24.98275014906262	204.63580599353193	0.0305	0:40
55.3%	17706	-24.98305381796122	204.64067572002045	0.0305	0:40
55.3%	17707	-24.98335704623741	204.64553838061502	0.0305	0:40
55.3%	17708	-24.98365983297313	204.6503939630472	0.0305	0:40
55.3%	17709	-24.98396217725186	204.65524245028598	0.0305	0:40
55.3%	17710	-24.984264078158205	204.66008382690725	0.0305	0:40
55.3%	17711	-24.984565534778632	204.6649180793091	0.0305	0:40
55.4%	17712	-24.984866546200244	204.6697451944567	0.0305	0:40
55.4%	17713	-24.985167111511988	204.67456515570765	0.0305	0:40
55.4%	17714	-24.98546722980397	204.67937794747198	0.0305	0:40
55.4%	17715	-24.985766900167977	204.68418355640546	0.0305	0:40
55.4%	17716	-24.98606612169683	204.68898196388804	0.0305	0:40
55.4%	17717	-24.98636489348462	204.69377316030562	0.0305	0:40
55.4%	17718	-24.98666321462714	204.69855712920523	0.0305	0:40
55.4%	17719	-24.986961084221477	204.7033338570357	0.0305	0:40
55.4%	17720	-24.98725850136596	204.70810333486955	0.0305	0:40
55.4%	17721	-24.987555465160206	204.71286553720938	0.0305	0:40
55.4%	17722	-24.987851974705794	204.717620454697	0.0305	0:40
